mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe
57908,0.9999999999742852,0.9999999999997048,1.475418717809453e-13,6.777731775427056e-12,1.4754187178098438e-13,1.894274720568403e-11,0.9999999994847418,0.9999999999998386,1.614469967356447e-13,5.152545581251766e-10,0,0,0,0,True,True,True,True,True
19405,1.446682678798554e-13,6.9123597594808426e-12,0.9999999999861652,0.9999999999997108,1.446682678798554e-13,6.9123597594808426e-12,0.9999999999890083,0.9999999999999092,9.089721681169253e-14,1.100142851073616e-11,1,1,0,0,True,True,True,True,True
39527,0.9999999870502336,0.9999999996983248,2.2336971006072118e-10,9.741016072786904e-09,7.830552374441523e-11,3.2087496410148933e-09,0.9999999954948228,0.999999999852608,1.4739217941257879e-10,4.505177421300094e-09,0,0,0,0,True,True,True,True,True
17086,1.761282208748686e-11,1.6152504276111892e-08,1.8126926785224002e-13,5.516650689693791e-12,0.9999999838419787,0.999999999982206,1.449520934067132e-11,9.880572330516112e-09,0.9999999901194282,0.9999999999855048,2,2,1,1,True,True,True,True,True
9799,4.631769693881243e-13,2.1590000787310677e-12,4.631769693881243e-13,2.1590000787310677e-12,0.999999999995682,0.9999999999990736,0.9999999999979372,0.9999999999995152,4.847631903648722e-13,2.0628613155107447e-12,2,2,0,0,True,True,True,True,True
34905,3.114019044532725e-11,3.34849312897581e-09,0.9999865698949676,0.9999997704630592,2.295058005380887e-07,1.342675662072498e-05,0.9999999918509772,0.9999999999644342,3.5565847386931154e-11,8.149021263885441e-09,1,1,0,0,True,True,True,True,True
48974,1.1509348399105558e-13,8.688582514800926e-12,0.999999999982634,0.9999999999997696,1.1509348399105558e-13,8.688582514800926e-12,1.4312145650808104e-13,6.9870671874151845e-12,0.999999999993008,0.9999999999998568,1,1,1,1,True,True,True,True,True
50994,0.001636166649234,0.6473921129767832,1.2637693888842223e-09,1.786129950896912e-06,0.3526076439184761,0.9983638319198958,2.3754748327219523e-05,0.0452964231422519,0.9547035768577457,0.9999762452516728,2,2,1,1,True,True,False,True,False
46967,6.519308144632042e-13,1.7078910600668913e-11,0.9999999949605975,0.9999999997332116,2.6613633816145187e-10,5.022323522286252e-09,0.999999998523849,0.9999999999783752,2.162496426309668e-11,1.476150849719168e-09,1,1,0,0,True,True,True,True,True
50532,4.619981961258277e-13,3.0678151586627804e-12,4.619981961257387e-13,2.16450908374717e-12,0.9999999999947672,0.999999999999076,0.9999999999975758,0.9999999999995874,4.1253371805039653e-13,2.424042565338656e-12,2,2,0,0,True,True,True,True,True
