mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe,epsilon
38136,2.0881560804923565e-08,3.986975166551149e-08,1.216434260539063e-10,2.900832412846505e-10,0.9999999598401651,0.9999999789967959,0.6746604857548806,0.8080942940851351,0.19190570591486483,0.3253395142451194,2,2,0,0,True,True,True,True,True,0.01
45132,2.059390621712205e-24,4.703139999824104e-24,1.0,1.0,3.3321353817310867e-19,7.149034803544076e-19,7.401246898217602e-19,1.366690049811096e-18,1.0,1.0,1,1,1,1,True,True,True,True,True,0.01
33156,1.8250604168547922e-12,3.2902813414573596e-12,1.1094115705124073e-07,2.177985546481612e-07,0.999999782198155,0.999999889057018,1.0815343654510084e-09,1.7831710454204772e-09,0.999999998216829,0.9999999989184656,2,2,1,1,True,True,True,True,True,0.01
6631,9.131417169855916e-19,1.6013441219705447e-18,0.9999999999966999,0.999999999998217,1.783035102797382e-12,3.300144039318909e-12,1.0,1.0,4.1784946956484858e-22,7.242578339045158e-22,1,1,0,0,True,True,True,True,True,0.01
54821,1.665262400426312e-23,2.930567272012552e-23,3.434547375188765e-25,6.18173859367426e-25,1.0,1.0,1.0,1.0,2.3140306997670967e-19,3.8723109368149596e-19,2,2,0,0,True,True,True,True,True,0.01
49663,5.1047413702052466e-15,8.601815061699871e-15,1.0524522688824073e-10,1.9246103845185066e-10,0.9999999998075305,0.9999999998947495,7.567415052797579e-08,1.2662782662527222e-07,0.9999998733721732,0.9999999243258495,2,2,1,1,True,True,True,True,True,0.01
25611,4.276781525087553e-21,9.170418907918788e-21,1.0,1.0,8.172756026231705e-21,2.0554435647917013e-20,1.0,1.0,2.7823147174952893e-27,5.775011771321653e-27,1,1,0,0,True,True,True,True,True,0.01
27027,4.229952439641179e-09,8.677673946783068e-09,0.6150604100924442,0.7609990988492411,0.23900089604679825,0.38493958306842596,0.9999999999980919,0.9999999999989644,1.035703134664818e-12,1.9079830559523136e-12,1,2,0,0,False,True,False,True,False,0.01
3211,1.8199247432779846e-15,3.5320498414995783e-15,2.5511366791437967e-18,5.417459083305935e-18,0.9999999999999966,0.9999999999999982,0.9999999999999905,0.9999999999999947,5.1689924838204565e-15,9.547031571308115e-15,2,2,0,0,True,True,True,True,True,0.01
56020,0.9999999999801125,0.9999999999899336,1.0060721262761865e-11,1.987692320705956e-11,5.615920509726304e-15,1.0771935941030397e-14,2.7913402541763438e-11,5.7278618874096945e-11,0.9999999999427213,0.9999999999720866,0,0,1,1,True,True,True,True,True,0.01
8046,1.0,1.0,1.6648949629787622e-19,3.5762245846543553e-19,6.006921901361163e-18,1.307791013058882e-17,0.9999999999999997,1.0,1.6384612770617819e-16,3.638773374448347e-16,0,0,0,0,True,True,True,True,True,0.01
42714,1.0830749333316603e-35,2.671938528521088e-35,1.0,1.0,3.2899911530212624e-24,8.375252855869265e-24,1.0,1.0,7.482710893695928e-29,1.7154436609493652e-28,1,1,0,0,True,True,True,True,True,0.01
