mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe
23432,8.141839884279879e-16,1.558044461327062e-15,0.9999999999588346,0.9999999999801104,1.9888921904423775e-11,4.1163877616443154e-11,0.9999999999996281,0.9999999999997979,2.0216089824864032e-13,3.720273179678273e-13,1,1,0,0,tensor(True),tensor(True),True,True,True
38536,7.725968479848614e-14,1.9166629878213815e-13,0.9999999999998085,0.9999999999999227,3.6407185456023256e-22,9.72450994284227e-22,5.3605695109303684e-12,9.800564015098352e-12,0.9999999999901995,0.9999999999946394,1,1,1,1,tensor(True),tensor(True),True,True,True
36033,0.9999999856372345,0.9999999946611156,3.5365324775509104e-09,1.0011046181727628e-08,1.8023520335582277e-09,4.3517194713775025e-09,7.686790138333155e-11,1.8238527564137534e-10,0.9999999998176148,0.9999999999231322,0,0,1,1,tensor(True),tensor(True),True,True,True
44065,0.9999368908765408,0.9999723717813541,2.755981590211275e-05,6.297860995200125e-05,6.840077182589083e-08,1.3051906477663162e-07,3.653594615599164e-09,6.978079849224079e-09,0.9999999930219202,0.9999999963464052,0,0,1,1,tensor(True),tensor(True),True,True,True
10268,0.9999901675851568,0.9999955985172104,4.3999560970365475e-06,9.82923492059157e-06,1.526684764210648e-09,3.1799456139578273e-09,0.00027179633335217403,0.0005628988541472881,0.9994371011458526,0.9997282036666479,0,0,1,1,tensor(True),tensor(True),True,True,True
6481,6.193020342762414e-12,1.1573495729869214e-11,9.914047496299388e-12,2.115620262780892e-11,0.9999999999672702,0.9999999999838929,3.663522116478954e-12,6.7423218404447886e-12,0.9999999999932578,0.9999999999963365,2,2,1,1,tensor(True),tensor(True),True,True,True
50675,7.384658982068498e-31,1.813686321958654e-30,1.0,1.0,9.474285749248904e-23,2.1050002065321082e-22,2.4086463732174743e-18,4.653753298013514e-18,1.0,1.0,1,1,1,1,tensor(True),tensor(True),True,True,True
1556,4.2559047823672106e-32,1.0404405973488187e-31,1.0,1.0,6.0042911805213e-19,1.255457565197009e-18,1.7962067412454003e-22,3.3188785709736487e-22,1.0,1.0,1,1,1,1,tensor(True),tensor(True),True,True,True
1847,5.189125678394497e-35,9.527711081985021e-35,1.0,1.0,1.0483345615482055e-19,1.6625332175886659e-19,2.981102430702501e-24,4.482830881656938e-24,1.0,1.0,1,1,1,1,tensor(True),tensor(True),True,True,True
57091,0.9999999999999779,0.9999999999999853,6.766026519918083e-21,1.0616134468579478e-20,1.47103681572312e-14,2.2188785210643512e-14,0.9999999999999016,0.9999999999999352,6.484470631543073e-14,9.83537213085127e-14,0,0,0,0,tensor(True),tensor(True),True,True,True
57719,1.1072824836671245e-23,2.3317696363617457e-23,0.9999999999999956,0.9999999999999978,2.1270654160897132e-15,4.4483920933417025e-15,1.0,1.0,2.7261026728257197e-23,5.530187024145296e-23,1,1,0,0,tensor(True),tensor(True),True,True,True
58019,1.0,1.0,1.5783064370192828e-20,5.1620452782491545e-20,7.062451300448595e-19,1.8621955393477813e-18,0.9999999999999997,1.0,8.443035478424491e-17,2.1182057915123665e-16,0,0,0,0,tensor(True),tensor(True),True,True,True
2979,0.9999999999999997,1.0,3.1115837015536947e-28,6.897215120132563e-28,1.5409987839463653e-16,3.106601910832105e-16,1.0,1.0,2.9465390525935513e-21,5.6616141323832825e-21,0,0,0,0,tensor(True),tensor(True),True,True,True
6842,9.668144314401207e-14,1.7033286899247333e-13,5.017173534420487e-10,1.0512095940366128e-09,0.9999999989486201,0.9999999994981859,2.852684395195396e-10,5.234542752363598e-10,0.9999999994765457,0.9999999997147315,2,2,1,1,tensor(True),tensor(True),True,True,True
58114,0.9999999431082572,0.9999999756073631,1.0409757635902401e-10,2.4974193897907623e-10,2.428853929887129e-08,5.6642001005813567e-08,0.9999719841965435,0.9999848667471147,1.5133252885381325e-05,2.801580345653013e-05,0,0,0,0,tensor(True),tensor(True),True,True,True
25553,6.152504273229606e-15,1.412150809768347e-14,0.999999999999986,0.9999999999999938,1.8707207295118084e-19,3.9987390951129583e-19,1.3232228825801527e-15,2.261346482566269e-15,0.9999999999999977,0.9999999999999987,1,1,1,1,tensor(True),tensor(True),True,True,True
