mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe,epsilon
20579,1.2973855963654424e-10,1.2983688172083808e-10,2.476652763748769e-09,2.4789526280012743e-09,0.9999999973912106,0.9999999973936087,1.7337164210807767e-13,1.734920749805752e-13,0.9999999999998266,0.9999999999998266,2,2,1,1,True,True,True,True,True,1e-05
21945,1.0,1.0,4.5597549717640215e-30,4.563929567475691e-30,1.9907295575218047e-20,1.9923801938796746e-20,1.0,1.0,2.8802712241694413e-19,2.8824231360836795e-19,0,0,0,0,True,True,True,True,True,1e-05
47973,1.0,1.0,1.0264287837047315e-37,1.0277730617572901e-37,4.553063171983748e-33,4.558161553403645e-33,1.0,1.0,9.042423444168484e-29,9.051668742461924e-29,0,0,0,0,True,True,True,True,True,1e-05
52937,0.06587146540133788,0.06591487149509256,3.451879077094736e-11,3.4549438936458214e-11,0.9340851284703602,0.9341285345641414,0.007627191736162887,0.007632494513456812,0.9923675054865432,0.9923728082638372,2,2,1,1,True,True,True,True,True,1e-05
5748,3.08835234801976e-11,3.0903764761995187e-11,0.9999999999690963,0.9999999999691165,2.3291914486073593e-18,2.3305451107136614e-18,1.3968060693541686e-06,1.3974285658428852e-06,0.999998602571434,0.9999986031939307,1,1,1,1,True,True,True,True,True,1e-05
23081,1.0484208217347045e-17,1.0490225696228892e-17,1.7397863634956728e-17,1.740831034481261e-17,1.0,1.0,0.9999999999999891,0.9999999999999891,1.0827624225479027e-14,1.0833213231696002e-14,2,2,0,0,True,True,True,True,True,1e-05
12120,3.359425906318341e-14,3.3606647108566786e-14,7.364895748425219e-19,7.368604830409528e-19,0.9999999999999665,0.9999999999999662,2.5654090629400147e-11,2.566278748851589e-11,0.9999999999743372,0.9999999999743459,2,2,1,1,True,True,True,True,True,1e-05
34306,6.230176045185001e-05,6.23421685199049e-05,0.4723295051261841,0.4725132340653713,0.5274244449000651,0.5276081719899842,0.0004679741436022026,0.0004682149952481699,0.9995317850047518,0.9995320258563977,2,2,1,1,True,True,True,True,True,1e-05
45880,0.9999999999984662,0.9999999999984674,4.93883773942666e-14,4.943293972222436e-14,1.4831576112840234e-12,1.4842786174971332e-12,0.99999999999343,0.9999999999934346,6.565392534385033e-12,6.569819715665397e-12,0,0,0,0,True,True,True,True,True,1e-05
51969,2.7508423099742132e-14,2.7525884395286985e-14,4.657195192778336e-15,4.660370184854881e-15,0.9999999999999678,0.9999999999999678,1.0,1.0,6.721147647551915e-17,6.724844293937443e-17,2,2,0,0,True,True,True,True,True,1e-05
53864,4.291755893679899e-05,4.293613229255253e-05,3.702136586804194e-12,3.704311965880628e-12,0.9999570638640032,0.999957082437361,0.9999999999992637,0.9999999999992641,7.359690703822454e-13,7.36322297958081e-13,2,2,0,0,True,True,True,True,True,1e-05
9129,2.5998281067992326e-09,2.600875565257322e-09,3.25286243228551e-08,3.2546820131756513e-08,0.9999999648523042,0.9999999648715475,8.074168904152271e-12,8.077420818361553e-12,0.9999999999919227,0.9999999999919258,2,2,1,1,True,True,True,True,True,1e-05
49827,1.0674072603825804e-17,1.0683545815230568e-17,0.999999999999986,0.999999999999986,1.3945992823506175e-14,1.3958670461321928e-14,1.0,1.0,1.911748950113314e-21,1.9132261129378538e-21,1,1,0,0,True,True,True,True,True,1e-05
38462,0.9999999999756699,0.9999999999756843,2.0993993228992553e-11,2.100671576512882e-11,3.32164744272238e-12,3.3233619658867662e-12,1.1386903164924571e-15,1.1393665154840688e-15,0.9999999999999989,0.9999999999999989,0,0,1,1,True,True,True,True,True,1e-05
36135,3.5316034403349465e-07,3.533822384699523e-07,1.3428024437377364e-14,1.3438654960134583e-14,0.9999996466177481,0.9999996468396425,2.3045052827307168e-07,2.3059619269899686e-07,0.9999997694038073,0.9999997695494718,2,2,1,1,True,True,True,True,True,1e-05
21281,0.999999999999986,0.9999999999999858,1.2091823468765936e-14,1.2097347607206875e-14,2.0622623376699274e-15,2.0630040636250437e-15,1.1850299125022956e-19,1.1855408431773396e-19,1.0,1.0,0,0,1,1,True,True,True,True,True,1e-05
49520,2.0296958601965932e-25,2.0312821037195712e-25,1.0,1.0,4.385424273585266e-18,4.388606933526735e-18,1.4732408061025364e-17,1.4740230458770323e-17,1.0,1.0,1,1,1,1,True,True,True,True,True,1e-05
1234,7.486558985103337e-14,7.49138430241776e-14,0.9999999999999094,0.9999999999999094,1.5863824902928902e-14,1.587378901149684e-14,1.297104357934588e-12,1.2976308546434083e-12,0.9999999999987023,0.9999999999987028,1,1,1,1,True,True,True,True,True,1e-05
36575,3.6657345307469045e-12,3.668299584857306e-12,0.9999999999963264,0.9999999999963289,5.37367963996238e-15,5.377101341946339e-15,4.99403830743387e-10,4.996508622101706e-10,0.9999999995003491,0.9999999995005961,1,1,1,1,True,True,True,True,True,1e-05
44203,4.942342989013133e-19,4.94571775381395e-19,8.553520096440902e-20,8.559403613628117e-20,1.0,1.0,1.0,1.0,1.815111331796072e-21,1.8161818919470147e-21,2,2,0,0,True,True,True,True,True,1e-05
12885,0.9999999999480276,0.9999999999480593,5.1021005174769195e-11,5.105223920305564e-11,9.196715835002408e-13,9.20148089600997e-13,1.4822754943205044e-19,1.4831094833130147e-19,1.0,1.0,0,0,1,1,True,True,True,True,True,1e-05
