mnist_id,magnitude_0_lb,magnitude_0_ub,magnitude_1_lb,magnitude_1_ub,magnitude_2_lb,magnitude_2_ub,parity_0_lb,parity_0_ub,parity_1_lb,parity_1_ub,magnitude_prediction_idx,magnitude_label_idx,parity_prediction_idx,parity_label_idx,magnitude_correct,parity_correct,magnitude_safe,parity_safe,safe,epsilon
20579,8.539587109679967e-11,1.97231489611928e-10,1.495013507828055e-09,4.132563591493926e-09,0.9999999956702048,0.9999999984195906,1.1796193718413133e-13,2.52904249217043e-13,0.9999999999997471,0.9999999999998819,2,2,1,1,True,True,True,True,True,0.01
21945,1.0,1.0,2.875384350440247e-30,7.249210779222003e-30,1.3114843398292454e-20,3.0310938108047085e-20,1.0,1.0,1.975904510541323e-19,4.2049265992175166e-19,0,0,0,0,True,True,True,True,True,0.01
47973,1.0,1.0,5.319125654908282e-38,1.991209540276093e-37,2.593813169391315e-33,8.021738282330219e-33,1.0,1.0,5.410676588849709e-29,1.516132454171461e-28,0,0,0,0,True,True,True,True,True,0.01
52937,0.04709644753495731,0.09136691942322239,2.208371307523225e-11,5.396544195603884e-11,0.9086330805263155,0.9529035524417411,0.005365633489822216,0.010817099035058848,0.9891829009649412,0.9946343665101777,2,2,1,1,True,True,True,True,True,0.01
5748,2.2263625200356794e-11,4.286890100158054e-11,0.999999999957131,0.9999999999777365,1.742480773667434e-18,3.1152629196837153e-18,1.118101440745504e-06,1.745759816792313e-06,0.9999982542401833,0.9999988818985592,1,1,1,1,True,True,True,True,True,0.01
23081,7.761226634371277e-18,1.4229914747407726e-17,1.2728238121675724e-17,2.3997040780240555e-17,1.0,1.0,0.9999999999999856,0.9999999999999916,8.316264795639014e-15,1.4345650133663848e-14,2,2,0,0,True,True,True,True,True,0.01
12120,2.7695075861414397e-14,4.0668677613571206e-14,5.688399351195905e-19,9.565318587776384e-19,0.9999999999999594,0.9999999999999725,2.1492585203367815e-11,3.0477064026702966e-11,0.999999999969523,0.9999999999785074,2,2,1,1,True,True,True,True,True,0.01
34306,4.3919726268533124e-05,8.810631724959718e-05,0.37749055580021385,0.5712583140319197,0.42868272609166574,0.6224484709219695,0.00035477234754789134,0.0006115885430799816,0.9993884114569199,0.9996452276524521,2,2,1,1,True,True,False,True,False,0.01
45880,0.9999999999976837,0.9999999999989795,3.0406973520985176e-14,8.1595614229842e-14,9.90132424269218e-13,2.2347068042975184e-12,0.9999999999904805,0.999999999995417,4.583075272587671e-12,9.519600758890512e-12,0,0,0,0,True,True,True,True,True,0.01
51969,1.9697384691999898e-14,3.864878291996804e-14,3.2609627532164856e-15,6.7150584906668e-15,0.9999999999999547,0.9999999999999769,1.0,1.0,5.061049927463309e-17,9.082433437245362e-17,2,2,0,0,True,True,True,True,True,0.01
53864,3.408268915139805e-05,5.427083981387554e-05,2.7121092994742207e-12,5.138417950045249e-12,0.999945729155048,0.9999659173081363,0.9999999999990488,0.9999999999994362,5.637452141491693e-13,9.513236188053511e-13,2,2,0,0,True,True,True,True,True,0.01
9129,2.1215806759774515e-09,3.179971732055438e-09,2.4588445502628052e-08,4.310922888510228e-08,0.9999999537107995,0.9999999732899736,6.5920098406831394e-12,9.874316346386702e-12,0.9999999999901258,0.9999999999934079,2,2,1,1,True,True,True,True,True,0.01
49827,6.474318190472289e-18,1.7342004454549903e-17,0.9999999999999772,0.9999999999999916,8.443799650550534e-15,2.2936690986617673e-14,1.0,1.0,1.2383120866886842e-21,2.913885812643669e-21,1,1,0,0,True,True,True,True,True,0.01
38462,0.9999999999651207,0.9999999999826081,1.489962331412594e-11,3.035523486648434e-11,2.4922431811888487e-12,4.5238487206443226e-12,8.203871166653658e-16,1.6501899876297807e-15,0.9999999999999982,0.9999999999999991,0,0,1,1,True,True,True,True,True,0.01
